Symptoms,Disease
"cough, sneezing, headache, runny nose, fever",Common Cold
"light sensitivity, dizziness, vomiting",Migraine
"vomiting, diarrhea, abdominal pain, dehydration",Gastroenteritis
"increased thirst, weight loss, fatigue, frequent urination",Diabetes
"headache, fatigue, chest pain, dizziness",Hypertension
"runny nose, fever, cough",Common Cold
"runny nose, fatigue, sneezing, fever, headache",Common Cold
"stiffness, swelling, reduced mobility, joint pain",Arthritis
"cough, chest tightness, shortness of breath, wheezing",Asthma
"vomiting, nausea, dehydration",Gastroenteritis
"swelling, joint pain, reduced mobility",Arthritis
"fatigue, frequent urination, weight loss, blurred vision",Diabetes
"fever, body ache, sore throat",Influenza
"sweating, shortness of breath, fatigue, chest pain",Angina
"runny nose, watery eyes, sneezing, nasal congestion",Allergic Rhinitis
"stiffness, reduced mobility, joint pain, swelling",Arthritis
"nasal congestion, itchy eyes, runny nose, sneezing, watery eyes",Allergic Rhinitis
"chest pain, sweating, fatigue",Angina
"shortness of breath, chest pain, sweating",Angina
"shortness of breath, chest pain, fatigue",Angina
"wheezing, chest tightness, shortness of breath, cough",Asthma
"body ache, sore throat, fever",Influenza
"chest tightness, cough, wheezing, shortness of breath",Asthma
"reduced mobility, joint pain, stiffness",Arthritis
"joint pain, swelling, reduced mobility",Arthritis
"sneezing, cough, runny nose, headache, sore throat, fatigue",Common Cold
"cough, wheezing, chest tightness, shortness of breath",Asthma
"sore throat, fatigue, runny nose, headache, fever, sneezing",Common Cold
"weight loss, fatigue, blurred vision, increased thirst",Diabetes
"stiffness, swelling, reduced mobility",Arthritis
"chest pain, blurred vision, dizziness, headache",Hypertension
"diarrhea, abdominal pain, nausea, vomiting",Gastroenteritis
"sore throat, headache, fever, dry cough, fatigue, chills",Influenza
"chest pain, headache, fatigue, blurred vision, dizziness",Hypertension
"chest pain, shortness of breath, fatigue",Angina
"cough, wheezing, shortness of breath",Asthma
"body ache, headache, fatigue, chills, dry cough",Influenza
"joint pain, stiffness, swelling, reduced mobility",Arthritis
"cough, shortness of breath, wheezing",Asthma
"runny nose, cough, fever, sore throat",Common Cold
"dizziness, nausea, vomiting, light sensitivity",Migraine
"fatigue, headache, cough, runny nose",Common Cold
"chest tightness, shortness of breath, cough",Asthma
"fever, fatigue, body ache, dry cough",Influenza
"runny nose, sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"shortness of breath, wheezing, cough, chest tightness",Asthma
"headache, light sensitivity, vomiting, nausea, dizziness",Migraine
"swelling, stiffness, joint pain, reduced mobility",Arthritis
"sore throat, runny nose, cough, sneezing, fatigue, headache",Common Cold
"fatigue, blurred vision, frequent urination, increased thirst, weight loss",Diabetes
"nausea, dizziness, headache, vomiting, light sensitivity",Migraine
"vomiting, abdominal pain, diarrhea",Gastroenteritis
"joint pain, reduced mobility, swelling, stiffness",Arthritis
"watery eyes, sneezing, itchy eyes, nasal congestion, runny nose",Allergic Rhinitis
"stiffness, swelling, reduced mobility, joint pain",Arthritis
"chest tightness, wheezing, cough, shortness of breath",Asthma
"shortness of breath, chest pain, sweating",Angina
"joint pain, swelling, reduced mobility",Arthritis
"vomiting, dehydration, diarrhea, abdominal pain, nausea",Gastroenteritis
"light sensitivity, headache, nausea",Migraine
"vomiting, nausea, dehydration, diarrhea",Gastroenteritis
"dehydration, abdominal pain, nausea, vomiting",Gastroenteritis
"wheezing, chest tightness, shortness of breath, cough",Asthma
"joint pain, stiffness, reduced mobility, swelling",Arthritis
"sore throat, headache, fever",Influenza
"swelling, reduced mobility, joint pain",Arthritis
"fatigue, sore throat, dry cough, fever",Influenza
"headache, fever, fatigue",Common Cold
"vomiting, nausea, dehydration",Gastroenteritis
"chest pain, fatigue, shortness of breath, sweating",Angina
"sore throat, runny nose, cough, sneezing, headache, fever",Common Cold
"reduced mobility, swelling, stiffness",Arthritis
"headache, nausea, dizziness",Migraine
"itchy eyes, nasal congestion, runny nose, sneezing, watery eyes",Allergic Rhinitis
"headache, fatigue, fever, runny nose, sneezing, cough",Common Cold
"body ache, headache, sore throat, dry cough",Influenza
"fatigue, shortness of breath, sweating",Angina
"nausea, abdominal pain, vomiting",Gastroenteritis
"itchy eyes, sneezing, watery eyes, runny nose",Allergic Rhinitis
"chest tightness, wheezing, shortness of breath, cough",Asthma
"headache, dizziness, chest pain, fatigue, blurred vision",Hypertension
"itchy eyes, watery eyes, runny nose, sneezing, nasal congestion",Allergic Rhinitis
"sweating, shortness of breath, fatigue",Angina
"dizziness, chest pain, blurred vision, headache",Hypertension
"vomiting, dizziness, nausea, headache",Migraine
"light sensitivity, headache, vomiting, nausea",Migraine
"chest pain, fatigue, shortness of breath, sweating",Angina
"chest pain, shortness of breath, fatigue",Angina
"headache, dizziness, chest pain, blurred vision",Hypertension
"swelling, stiffness, joint pain",Arthritis
"shortness of breath, sweating, chest pain",Angina
"fatigue, frequent urination, blurred vision",Diabetes
"diarrhea, abdominal pain, nausea, dehydration",Gastroenteritis
"frequent urination, fatigue, blurred vision, weight loss, increased thirst",Diabetes
"shortness of breath, sweating, fatigue",Angina
"itchy eyes, watery eyes, runny nose, sneezing",Allergic Rhinitis
"nausea, light sensitivity, vomiting, dizziness, headache",Migraine
"reduced mobility, stiffness, joint pain, swelling",Arthritis
"diarrhea, dehydration, vomiting, nausea, abdominal pain",Gastroenteritis
"shortness of breath, wheezing, chest tightness",Asthma
"nausea, headache, light sensitivity",Migraine
"shortness of breath, cough, chest tightness, wheezing",Asthma
"nausea, light sensitivity, headache",Migraine
"runny nose, itchy eyes, sneezing",Allergic Rhinitis
"headache, fatigue, sore throat, sneezing",Common Cold
"frequent urination, blurred vision, weight loss, fatigue",Diabetes
"swelling, stiffness, reduced mobility, joint pain",Arthritis
"joint pain, stiffness, reduced mobility",Arthritis
"vomiting, dizziness, light sensitivity",Migraine
"wheezing, chest tightness, cough",Asthma
"shortness of breath, cough, wheezing, chest tightness",Asthma
"reduced mobility, joint pain, stiffness, swelling",Arthritis
"stiffness, reduced mobility, joint pain",Arthritis
"frequent urination, increased thirst, weight loss, fatigue",Diabetes
"chest pain, sweating, shortness of breath, fatigue",Angina
"nausea, diarrhea, vomiting, dehydration",Gastroenteritis
"reduced mobility, swelling, stiffness, joint pain",Arthritis
"fever, headache, cough, fatigue",Common Cold
"fatigue, blurred vision, frequent urination, increased thirst",Diabetes
"headache, chest pain, dizziness, fatigue, blurred vision",Hypertension
"weight loss, increased thirst, frequent urination, fatigue",Diabetes
"blurred vision, fatigue, chest pain, headache",Hypertension
"sneezing, itchy eyes, watery eyes",Allergic Rhinitis
"diarrhea, abdominal pain, vomiting, dehydration, nausea",Gastroenteritis
"fatigue, increased thirst, frequent urination, blurred vision, weight loss",Diabetes
"chest pain, fatigue, blurred vision",Hypertension
"nasal congestion, sneezing, runny nose",Allergic Rhinitis
"reduced mobility, swelling, joint pain",Arthritis
"stiffness, reduced mobility, joint pain",Arthritis
"sneezing, fever, cough, headache, sore throat",Common Cold
"dizziness, chest pain, blurred vision",Hypertension
"headache, dry cough, fever, fatigue, chills",Influenza
"sneezing, cough, headache",Common Cold
"cough, fatigue, sneezing, sore throat, fever, runny nose",Common Cold
"shortness of breath, chest tightness, cough",Asthma
"dizziness, nausea, light sensitivity, headache, vomiting",Migraine
"watery eyes, runny nose, sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"runny nose, sneezing, cough",Common Cold
"abdominal pain, nausea, dehydration, vomiting, diarrhea",Gastroenteritis
"swelling, joint pain, stiffness",Arthritis
"itchy eyes, runny nose, sneezing, nasal congestion",Allergic Rhinitis
"sore throat, chills, dry cough, fatigue, fever",Influenza
"vomiting, abdominal pain, dehydration, diarrhea, nausea",Gastroenteritis
"fever, fatigue, dry cough",Influenza
"dehydration, diarrhea, nausea, abdominal pain, vomiting",Gastroenteritis
"dry cough, fatigue, headache",Influenza
"dry cough, fatigue, body ache, chills, sore throat",Influenza
"headache, sore throat, runny nose",Common Cold
"chest pain, dizziness, headache, blurred vision, fatigue",Hypertension
"fatigue, sore throat, runny nose",Common Cold
"sneezing, fatigue, fever, headache, sore throat",Common Cold
"weight loss, blurred vision, frequent urination, fatigue, increased thirst",Diabetes
"chest tightness, cough, shortness of breath, wheezing",Asthma
"light sensitivity, vomiting, nausea",Migraine
"blurred vision, weight loss, increased thirst, fatigue",Diabetes
"headache, nausea, light sensitivity, dizziness",Migraine
"light sensitivity, headache, vomiting, nausea",Migraine
"fatigue, shortness of breath, sweating",Angina
"shortness of breath, wheezing, chest tightness, cough",Asthma
"nasal congestion, itchy eyes, sneezing, runny nose, watery eyes",Allergic Rhinitis
"dehydration, diarrhea, vomiting, nausea, abdominal pain",Gastroenteritis
"vomiting, diarrhea, nausea",Gastroenteritis
"chest pain, shortness of breath, sweating, fatigue",Angina
"nasal congestion, itchy eyes, watery eyes, runny nose",Allergic Rhinitis
"nasal congestion, runny nose, watery eyes",Allergic Rhinitis
"nausea, dizziness, headache",Migraine
"fatigue, body ache, fever, chills",Influenza
"light sensitivity, dizziness, headache, vomiting, nausea",Migraine
"stiffness, reduced mobility, joint pain, swelling",Arthritis
"fatigue, frequent urination, increased thirst",Diabetes
"headache, nausea, vomiting, light sensitivity, dizziness",Migraine
"dehydration, vomiting, abdominal pain",Gastroenteritis
"headache, runny nose, sneezing, cough, fever",Common Cold
"joint pain, swelling, stiffness, reduced mobility",Arthritis
"swelling, stiffness, reduced mobility, joint pain",Arthritis
"watery eyes, nasal congestion, itchy eyes",Allergic Rhinitis
"blurred vision, dizziness, chest pain",Hypertension
"vomiting, dizziness, headache",Migraine
"vomiting, nausea, dehydration",Gastroenteritis
"joint pain, swelling, stiffness",Arthritis
"nausea, abdominal pain, vomiting, diarrhea, dehydration",Gastroenteritis
"increased thirst, frequent urination, weight loss, blurred vision",Diabetes
"diarrhea, vomiting, nausea, dehydration",Gastroenteritis
"shortness of breath, wheezing, cough",Asthma
"headache, nausea, vomiting, dizziness",Migraine
"frequent urination, blurred vision, fatigue, increased thirst",Diabetes
"shortness of breath, fatigue, sweating, chest pain",Angina
"watery eyes, itchy eyes, nasal congestion, sneezing, runny nose",Allergic Rhinitis
"chest tightness, shortness of breath, wheezing, cough",Asthma
"dehydration, abdominal pain, nausea, diarrhea",Gastroenteritis
"body ache, fever, chills",Influenza
"sore throat, cough, fatigue, fever, headache",Common Cold
"itchy eyes, sneezing, nasal congestion",Allergic Rhinitis
"reduced mobility, joint pain, stiffness, swelling",Arthritis
"fatigue, headache, dizziness, chest pain",Hypertension
"cough, runny nose, sore throat, fever",Common Cold
"shortness of breath, chest pain, fatigue, sweating",Angina
"runny nose, sneezing, watery eyes",Allergic Rhinitis
"cough, fatigue, headache",Common Cold
"dry cough, sore throat, body ache, fatigue, chills",Influenza
"fever, sore throat, chills, dry cough, headache",Influenza
"headache, chest pain, dizziness, blurred vision, fatigue",Hypertension
"vomiting, nausea, abdominal pain, diarrhea",Gastroenteritis
"shortness of breath, fatigue, sweating",Angina
"dizziness, nausea, headache",Migraine
"weight loss, frequent urination, fatigue, increased thirst, blurred vision",Diabetes
"sweating, chest pain, fatigue",Angina
"shortness of breath, chest pain, sweating, fatigue",Angina
"blurred vision, frequent urination, fatigue, weight loss",Diabetes
"fatigue, sweating, shortness of breath, chest pain",Angina
"swelling, joint pain, stiffness",Arthritis
"fatigue, dizziness, blurred vision, headache, chest pain",Hypertension
"headache, sore throat, sneezing",Common Cold
"stiffness, swelling, reduced mobility",Arthritis
"sneezing, nasal congestion, runny nose",Allergic Rhinitis
"sweating, chest pain, fatigue, shortness of breath",Angina
"chills, body ache, headache, fever, fatigue, dry cough",Influenza
"blurred vision, chest pain, headache, fatigue, dizziness",Hypertension
"weight loss, blurred vision, frequent urination",Diabetes
"fever, sore throat, body ache",Influenza
"nausea, vomiting, headache",Migraine
"blurred vision, weight loss, fatigue, frequent urination",Diabetes
"fatigue, headache, dizziness, chest pain, blurred vision",Hypertension
"runny nose, watery eyes, sneezing, itchy eyes, nasal congestion",Allergic Rhinitis
"chest pain, sweating, fatigue, shortness of breath",Angina
"dizziness, chest pain, headache, fatigue, blurred vision",Hypertension
"dehydration, abdominal pain, vomiting, nausea, diarrhea",Gastroenteritis
"dizziness, light sensitivity, headache, vomiting, nausea",Migraine
"runny nose, sore throat, headache",Common Cold
"nausea, abdominal pain, diarrhea",Gastroenteritis
"reduced mobility, joint pain, swelling, stiffness",Arthritis
"fever, dry cough, body ache",Influenza
"stiffness, joint pain, swelling",Arthritis
"fatigue, frequent urination, blurred vision, weight loss",Diabetes
"dry cough, sore throat, fever",Influenza
"itchy eyes, nasal congestion, runny nose, sneezing",Allergic Rhinitis
"shortness of breath, cough, wheezing",Asthma
"chest tightness, shortness of breath, cough, wheezing",Asthma
"blurred vision, increased thirst, frequent urination",Diabetes
"runny nose, sore throat, headache, sneezing, fatigue, fever",Common Cold
"headache, chest pain, fatigue, dizziness, blurred vision",Hypertension
"stiffness, reduced mobility, joint pain",Arthritis
"reduced mobility, stiffness, swelling",Arthritis
"weight loss, frequent urination, fatigue",Diabetes
"swelling, reduced mobility, joint pain",Arthritis
"headache, nausea, vomiting, light sensitivity",Migraine
"swelling, joint pain, reduced mobility",Arthritis
"headache, fatigue, blurred vision, dizziness",Hypertension
"fatigue, increased thirst, blurred vision, weight loss, frequent urination",Diabetes
"shortness of breath, wheezing, chest tightness",Asthma
"swelling, reduced mobility, joint pain",Arthritis
"headache, light sensitivity, nausea",Migraine
"blurred vision, frequent urination, fatigue, increased thirst, weight loss",Diabetes
"chest tightness, wheezing, shortness of breath, cough",Asthma
"chest tightness, cough, shortness of breath, wheezing",Asthma
"shortness of breath, fatigue, sweating, chest pain",Angina
"fatigue, sore throat, sneezing, runny nose, headache",Common Cold
"itchy eyes, runny nose, watery eyes, sneezing, nasal congestion",Allergic Rhinitis
"headache, runny nose, fever",Common Cold
"dizziness, chest pain, fatigue, headache",Hypertension
"dizziness, vomiting, headache, light sensitivity, nausea",Migraine
"fever, sore throat, headache, fatigue",Common Cold
"headache, light sensitivity, vomiting, dizziness, nausea",Migraine
"chest pain, dizziness, headache",Hypertension
"shortness of breath, wheezing, cough, chest tightness",Asthma
"fatigue, fever, sneezing, cough, headache, runny nose",Common Cold
"shortness of breath, sweating, fatigue",Angina
"swelling, stiffness, joint pain, reduced mobility",Arthritis
"chest pain, shortness of breath, fatigue",Angina
"dizziness, vomiting, nausea",Migraine
"swelling, stiffness, joint pain",Arthritis
"fatigue, increased thirst, blurred vision, frequent urination",Diabetes
"joint pain, swelling, reduced mobility, stiffness",Arthritis
"fatigue, runny nose, headache, fever, sneezing, cough",Common Cold
"sore throat, dry cough, headache, fever",Influenza
"cough, chest tightness, shortness of breath",Asthma
"headache, sore throat, fever, fatigue, sneezing, cough",Common Cold
"stiffness, swelling, reduced mobility, joint pain",Arthritis
"vomiting, light sensitivity, headache, nausea",Migraine
"light sensitivity, vomiting, dizziness, headache, nausea",Migraine
"wheezing, chest tightness, cough",Asthma
"fatigue, chest pain, shortness of breath, sweating",Angina
"vomiting, abdominal pain, nausea, diarrhea, dehydration",Gastroenteritis
"wheezing, shortness of breath, chest tightness",Asthma
"light sensitivity, dizziness, vomiting, nausea, headache",Migraine
"dizziness, headache, blurred vision",Hypertension
"chest tightness, cough, wheezing, shortness of breath",Asthma
"diarrhea, abdominal pain, nausea",Gastroenteritis
"shortness of breath, cough, wheezing",Asthma
"fever, sneezing, runny nose, fatigue, headache, cough",Common Cold
"sneezing, nasal congestion, itchy eyes",Allergic Rhinitis
"body ache, headache, dry cough, fatigue",Influenza
"nasal congestion, itchy eyes, runny nose",Allergic Rhinitis
"stiffness, swelling, reduced mobility, joint pain",Arthritis
"nausea, headache, vomiting, light sensitivity, dizziness",Migraine
"body ache, chills, fever, headache, sore throat, fatigue",Influenza
"wheezing, cough, shortness of breath",Asthma
"reduced mobility, joint pain, swelling",Arthritis
"vomiting, diarrhea, dehydration",Gastroenteritis
"reduced mobility, swelling, stiffness, joint pain",Arthritis
"reduced mobility, joint pain, stiffness, swelling",Arthritis
"headache, dizziness, chest pain, fatigue",Hypertension
"sore throat, runny nose, cough",Common Cold
"dizziness, headache, blurred vision, fatigue",Hypertension
"fatigue, chest pain, shortness of breath, sweating",Angina
"fatigue, sneezing, runny nose, fever, cough, headache",Common Cold
"watery eyes, sneezing, runny nose, itchy eyes, nasal congestion",Allergic Rhinitis
"chest pain, headache, dizziness, blurred vision, fatigue",Hypertension
"fever, fatigue, sore throat, cough, headache",Common Cold
"body ache, sore throat, headache",Influenza
"body ache, headache, fatigue",Influenza
"cough, shortness of breath, chest tightness",Asthma
"stiffness, reduced mobility, joint pain, swelling",Arthritis
"chest pain, sweating, shortness of breath, fatigue",Angina
"reduced mobility, joint pain, stiffness, swelling",Arthritis
"watery eyes, runny nose, nasal congestion",Allergic Rhinitis
"chest tightness, shortness of breath, cough, wheezing",Asthma
"headache, sneezing, fatigue",Common Cold
"vomiting, abdominal pain, diarrhea",Gastroenteritis
"body ache, fever, dry cough, headache",Influenza
"fever, sore throat, sneezing, headache, runny nose, fatigue",Common Cold
"shortness of breath, wheezing, chest tightness",Asthma
"fatigue, sore throat, chills, body ache",Influenza
"joint pain, reduced mobility, stiffness, swelling",Arthritis
"dizziness, vomiting, headache, nausea, light sensitivity",Migraine
"fever, cough, headache, sneezing, fatigue",Common Cold
"stiffness, swelling, reduced mobility",Arthritis
"sweating, shortness of breath, chest pain, fatigue",Angina
"diarrhea, nausea, abdominal pain, vomiting, dehydration",Gastroenteritis
"cough, shortness of breath, chest tightness",Asthma
"swelling, joint pain, reduced mobility",Arthritis
"body ache, headache, chills, fever",Influenza
"dizziness, headache, chest pain",Hypertension
"sore throat, fever, dry cough, fatigue, chills, headache",Influenza
"fatigue, chest pain, headache",Hypertension
"wheezing, chest tightness, cough, shortness of breath",Asthma
"frequent urination, blurred vision, fatigue, increased thirst",Diabetes
"headache, light sensitivity, dizziness",Migraine
"shortness of breath, wheezing, chest tightness, cough",Asthma
"fatigue, sore throat, fever, headache, dry cough, body ache",Influenza
"headache, nausea, dizziness, vomiting",Migraine
"dizziness, chest pain, blurred vision, fatigue",Hypertension
"abdominal pain, vomiting, dehydration, nausea, diarrhea",Gastroenteritis
"fever, cough, fatigue, sore throat, sneezing, runny nose",Common Cold
"fatigue, blurred vision, weight loss, increased thirst",Diabetes
"runny nose, itchy eyes, sneezing, watery eyes",Allergic Rhinitis
"sore throat, sneezing, cough",Common Cold
"weight loss, fatigue, blurred vision",Diabetes
"dizziness, light sensitivity, headache",Migraine
"blurred vision, fatigue, dizziness, chest pain",Hypertension
"headache, chest pain, blurred vision",Hypertension
"dizziness, headache, chest pain",Hypertension
"swelling, stiffness, joint pain, reduced mobility",Arthritis
"watery eyes, itchy eyes, nasal congestion, sneezing, runny nose",Allergic Rhinitis
"nausea, diarrhea, vomiting",Gastroenteritis
"sweating, shortness of breath, chest pain",Angina
"wheezing, cough, chest tightness, shortness of breath",Asthma
"fatigue, dizziness, chest pain, blurred vision, headache",Hypertension
"nausea, headache, vomiting, dizziness, light sensitivity",Migraine
"fatigue, sweating, chest pain",Angina
"swelling, reduced mobility, stiffness, joint pain",Arthritis
"frequent urination, fatigue, weight loss, increased thirst, blurred vision",Diabetes
"dizziness, headache, vomiting",Migraine
"blurred vision, fatigue, frequent urination, weight loss",Diabetes
"runny nose, watery eyes, itchy eyes, nasal congestion",Allergic Rhinitis
"nausea, dizziness, light sensitivity, headache, vomiting",Migraine
"wheezing, shortness of breath, chest tightness",Asthma
"sore throat, headache, fatigue, dry cough, body ache",Influenza
"increased thirst, blurred vision, fatigue, weight loss, frequent urination",Diabetes
"sore throat, headache, runny nose, fatigue, fever, cough",Common Cold
"frequent urination, weight loss, increased thirst",Diabetes
"fatigue, shortness of breath, chest pain, sweating",Angina
"shortness of breath, wheezing, chest tightness, cough",Asthma
"weight loss, fatigue, increased thirst, blurred vision, frequent urination",Diabetes
"fatigue, fever, dry cough, chills, body ache, headache",Influenza
"weight loss, fatigue, blurred vision",Diabetes
"headache, light sensitivity, vomiting, dizziness",Migraine
"chest tightness, shortness of breath, cough, wheezing",Asthma
"vomiting, dehydration, diarrhea",Gastroenteritis
"fatigue, increased thirst, weight loss",Diabetes
"fatigue, blurred vision, dizziness, headache, chest pain",Hypertension
"diarrhea, nausea, dehydration, abdominal pain, vomiting",Gastroenteritis
"sneezing, headache, runny nose, fever, sore throat",Common Cold
"runny nose, cough, fever, headache",Common Cold
"dizziness, headache, light sensitivity, vomiting, nausea",Migraine
"reduced mobility, stiffness, swelling, joint pain",Arthritis
"cough, shortness of breath, chest tightness, wheezing",Asthma
"diarrhea, vomiting, nausea, abdominal pain, dehydration",Gastroenteritis
"vomiting, light sensitivity, headache, dizziness",Migraine
"increased thirst, fatigue, weight loss, frequent urination, blurred vision",Diabetes
"watery eyes, runny nose, itchy eyes",Allergic Rhinitis
"nausea, vomiting, light sensitivity, headache",Migraine
"joint pain, swelling, reduced mobility, stiffness",Arthritis
"watery eyes, itchy eyes, nasal congestion, sneezing, runny nose",Allergic Rhinitis
"headache, fatigue, blurred vision, dizziness",Hypertension
"reduced mobility, joint pain, stiffness",Arthritis
"joint pain, stiffness, swelling",Arthritis
"shortness of breath, fatigue, chest pain, sweating",Angina
"vomiting, dehydration, nausea, diarrhea",Gastroenteritis
"stiffness, joint pain, swelling",Arthritis
"cough, wheezing, shortness of breath, chest tightness",Asthma
"headache, fatigue, body ache, chills, sore throat, fever",Influenza
"watery eyes, sneezing, runny nose, itchy eyes",Allergic Rhinitis
"chest pain, dizziness, fatigue",Hypertension
"itchy eyes, sneezing, runny nose, nasal congestion",Allergic Rhinitis
"joint pain, reduced mobility, swelling, stiffness",Arthritis
"sore throat, fever, fatigue, headache, cough",Common Cold
"dry cough, sore throat, body ache, headache, chills",Influenza
"headache, dizziness, chest pain, fatigue",Hypertension
"chest pain, dizziness, headache",Hypertension
"nausea, abdominal pain, dehydration, diarrhea, vomiting",Gastroenteritis
"joint pain, reduced mobility, stiffness",Arthritis
"reduced mobility, swelling, joint pain, stiffness",Arthritis
"shortness of breath, wheezing, chest tightness, cough",Asthma
"runny nose, nasal congestion, itchy eyes, sneezing, watery eyes",Allergic Rhinitis
"wheezing, chest tightness, cough",Asthma
"fatigue, dizziness, headache, chest pain",Hypertension
"wheezing, chest tightness, cough",Asthma
"diarrhea, abdominal pain, vomiting, dehydration",Gastroenteritis
"abdominal pain, vomiting, diarrhea, dehydration, nausea",Gastroenteritis
"dizziness, chest pain, blurred vision, fatigue, headache",Hypertension
"weight loss, fatigue, frequent urination, blurred vision, increased thirst",Diabetes
"frequent urination, blurred vision, fatigue, weight loss, increased thirst",Diabetes
"itchy eyes, nasal congestion, watery eyes",Allergic Rhinitis
"sweating, shortness of breath, fatigue, chest pain",Angina
"increased thirst, blurred vision, frequent urination, weight loss",Diabetes
"nasal congestion, sneezing, itchy eyes",Allergic Rhinitis
"nausea, dehydration, abdominal pain, diarrhea, vomiting",Gastroenteritis
"dehydration, nausea, diarrhea, vomiting, abdominal pain",Gastroenteritis
"sweating, chest pain, fatigue",Angina
"fever, runny nose, sore throat, fatigue, cough, sneezing",Common Cold
"chest tightness, cough, wheezing, shortness of breath",Asthma
"sweating, chest pain, shortness of breath, fatigue",Angina
"blurred vision, chest pain, fatigue, headache",Hypertension
"diarrhea, abdominal pain, vomiting, nausea, dehydration",Gastroenteritis
"blurred vision, increased thirst, fatigue, frequent urination, weight loss",Diabetes
"body ache, fever, fatigue, chills, headache",Influenza
"dizziness, blurred vision, chest pain, headache, fatigue",Hypertension
"headache, dizziness, chest pain, blurred vision",Hypertension
"reduced mobility, swelling, stiffness",Arthritis
"swelling, stiffness, reduced mobility",Arthritis
